id_equipamento,chuva_acumulada_mm,umidade_solo_pct,inclinacao_graus,peso_maquina_ton,distancia_corpo_agua_m,ocorreu_acidente
TRATOR-II,28.05,44.51,33.47,12.94,336.45,1
TRATOR-II,64.8,67.28,13.18,24.16,211.21,0
COLHEITADEIRA-I,105.61,92.5,11.87,24.65,313.18,1
TRATOR-II,78.11,64.12,2.19,15.64,178.84,0
TRATOR-I,63.95,69.79,17.02,23.85,901.92,0
PULVERIZADOR-I,38.92,36.09,3.82,18.17,397.19,0
PULVERIZADOR-I,39.96,39.95,8.7,14.05,245.28,0
COLHEITADEIRA-II,80.34,84.53,11.09,20.54,448.41,0
TRATOR-II,119.3,100.0,28.31,19.88,320.54,1
TRATOR-I,79.42,58.06,30.64,24.84,744.42,0
COLHEITADEIRA-II,66.93,57.61,10.59,13.98,971.22,0
COLHEITADEIRA-I,87.68,69.04,30.05,20.08,438.03,1
COLHEITADEIRA-II,55.82,51.62,30.0,10.78,861.03,1
COLHEITADEIRA-II,7.22,21.76,26.76,11.7,565.86,0
TRATOR-II,67.48,52.36,5.13,10.06,157.24,0
COLHEITADEIRA-I,114.92,92.72,24.16,24.99,690.62,1
COLHEITADEIRA-II,21.04,44.6,33.08,22.03,513.43,0
TRATOR-I,82.8,77.88,23.89,21.8,650.61,1
TRATOR-I,24.11,44.65,11.61,17.65,889.69,0
PULVERIZADOR-I,64.3,51.01,17.52,14.5,440.43,0
COLHEITADEIRA-I,11.6,45.51,22.6,12.27,901.18,0
COLHEITADEIRA-I,54.04,67.58,17.87,14.27,750.67,0
PULVERIZADOR-I,90.74,88.6,4.2,15.64,488.6,0
COLHEITADEIRA-II,41.71,59.71,10.92,21.34,603.22,0
COLHEITADEIRA-I,79.79,85.85,28.08,18.09,325.58,1
TRATOR-I,95.45,83.6,30.15,11.16,983.6,1
TRATOR-I,111.26,82.77,4.81,10.27,667.35,0
TRATOR-II,28.16,45.4,33.33,11.53,43.85,1
COLHEITADEIRA-I,47.92,61.04,11.51,16.16,326.62,0
COLHEITADEIRA-II,18.29,43.11,23.18,24.0,623.31,0
PULVERIZADOR-I,119.1,97.1,26.31,19.56,56.33,1
PULVERIZADOR-I,111.24,78.8,28.42,22.03,23.88,1
COLHEITADEIRA-II,64.79,60.01,33.1,17.0,450.02,1
TRATOR-II,101.04,98.25,10.95,15.42,332.69,0
PULVERIZADOR-I,62.51,65.04,30.05,11.63,438.3,1
COLHEITADEIRA-I,74.83,71.05,4.61,23.14,262.69,0
TRATOR-II,10.69,24.48,24.68,21.75,164.72,0
COLHEITADEIRA-I,90.63,75.43,25.97,12.52,689.14,0
TRATOR-I,15.33,46.06,23.72,17.68,514.57,0
TRATOR-II,99.13,89.47,8.83,17.31,200.15,0
PULVERIZADOR-I,93.84,89.93,30.56,19.38,319.59,1
TRATOR-II,85.05,74.66,5.91,24.19,591.81,0
TRATOR-II,4.34,31.51,1.88,18.7,72.23,0
TRATOR-II,36.38,39.28,25.11,18.1,147.45,1
TRATOR-II,31.57,50.11,16.64,10.75,73.25,0
COLHEITADEIRA-I,43.22,48.76,29.72,10.94,812.32,0
TRATOR-I,10.52,29.59,13.42,12.81,752.41,0
COLHEITADEIRA-II,112.43,96.94,5.89,10.49,753.31,0
TRATOR-II,66.46,77.96,29.28,21.15,716.33,1
PULVERIZADOR-I,36.66,33.92,19.21,20.85,669.39,0
TRATOR-II,47.64,63.32,6.62,12.04,476.99,0
PULVERIZADOR-I,53.66,50.97,25.21,22.54,642.28,0
COLHEITADEIRA-I,72.07,66.56,17.89,12.32,38.36,1
PULVERIZADOR-I,61.88,47.79,21.15,14.52,621.46,0
COLHEITADEIRA-II,110.33,85.23,16.13,13.73,777.88,0
TRATOR-I,59.64,60.86,29.0,15.58,500.36,1
PULVERIZADOR-I,119.06,83.12,29.03,13.82,357.51,1
PULVERIZADOR-I,102.17,86.04,24.83,17.33,277.43,1
TRATOR-I,25.02,52.83,3.69,16.11,642.8,0
COLHEITADEIRA-II,111.67,80.16,29.36,24.8,692.8,0
TRATOR-II,13.96,41.31,23.49,10.84,870.97,0
PULVERIZADOR-I,98.09,81.15,24.4,12.13,342.33,1
TRATOR-I,45.67,57.06,12.7,10.79,769.77,0
COLHEITADEIRA-I,105.36,81.02,30.77,19.39,561.36,1
TRATOR-I,104.17,77.28,25.39,10.82,882.84,1
COLHEITADEIRA-I,96.71,72.84,3.94,22.55,527.81,0
COLHEITADEIRA-II,94.8,69.0,14.27,17.68,517.63,0
TRATOR-II,36.56,37.51,31.02,17.91,577.88,0
TRATOR-I,9.71,35.75,1.65,18.42,749.32,0
PULVERIZADOR-I,48.36,65.47,33.65,12.56,964.69,1
COLHEITADEIRA-II,20.82,46.92,23.77,12.97,73.56,1
TRATOR-I,83.39,80.59,22.1,14.78,53.43,1
PULVERIZADOR-I,41.53,38.23,9.47,18.9,937.55,0
TRATOR-I,117.07,88.92,8.71,13.15,529.88,0
COLHEITADEIRA-I,76.92,65.44,32.97,11.74,614.9,1
TRATOR-I,98.7,76.72,10.44,24.55,482.42,0
TRATOR-I,15.9,34.99,27.14,10.33,93.66,0
TRATOR-I,103.44,88.13,13.76,22.04,768.09,0
COLHEITADEIRA-II,110.73,87.15,4.87,21.82,747.22,0
TRATOR-I,58.45,55.68,0.38,14.46,311.7,0
PULVERIZADOR-I,72.75,78.51,19.05,12.03,306.24,0
COLHEITADEIRA-I,91.78,88.75,34.15,12.18,837.84,1
COLHEITADEIRA-I,20.98,31.82,12.92,20.46,72.36,0
TRATOR-I,60.31,73.6,12.5,19.64,881.11,0
COLHEITADEIRA-II,47.84,67.29,12.04,21.74,256.66,0
COLHEITADEIRA-II,17.56,30.34,18.22,24.06,592.98,0
PULVERIZADOR-I,44.1,47.1,15.42,20.38,935.99,0
TRATOR-I,8.18,30.08,30.8,12.34,678.12,0
COLHEITADEIRA-I,3.1,40.09,17.69,13.65,414.43,0
COLHEITADEIRA-II,16.22,46.02,17.77,22.63,689.53,0
TRATOR-I,115.57,82.42,4.84,13.14,343.98,0
COLHEITADEIRA-II,65.94,61.35,34.4,11.09,277.26,1
COLHEITADEIRA-II,115.9,96.14,8.75,20.55,996.68,0
COLHEITADEIRA-I,51.9,56.23,2.57,16.04,750.79,0
TRATOR-II,37.42,38.27,23.21,23.8,644.72,0
PULVERIZADOR-I,60.74,72.21,20.84,19.75,355.29,1
PULVERIZADOR-I,52.74,61.95,14.53,11.36,49.16,1
COLHEITADEIRA-I,12.68,42.75,14.78,24.22,31.06,0
COLHEITADEIRA-II,76.9,81.9,27.48,13.88,554.18,0
TRATOR-I,25.92,48.01,6.85,15.06,762.03,0
COLHEITADEIRA-II,74.35,67.79,28.71,16.03,537.38,0
COLHEITADEIRA-I,78.02,75.13,22.71,10.77,840.79,0
PULVERIZADOR-I,18.24,25.76,14.66,17.45,33.43,0
COLHEITADEIRA-II,7.36,34.63,16.03,11.85,366.75,0
PULVERIZADOR-I,93.69,71.59,8.98,16.01,237.07,0
TRATOR-I,55.18,63.92,26.32,15.26,447.27,1
PULVERIZADOR-I,6.98,21.08,17.95,21.59,72.38,0
PULVERIZADOR-I,119.38,85.16,11.23,22.05,954.13,0
TRATOR-II,6.93,19.12,20.86,12.3,223.26,0
TRATOR-II,83.4,60.1,34.85,15.5,922.31,1
TRATOR-II,118.04,100.0,15.23,15.6,425.89,1
PULVERIZADOR-I,28.7,49.19,32.22,12.27,985.52,0
COLHEITADEIRA-I,17.07,35.69,12.08,21.98,554.06,0
PULVERIZADOR-I,14.57,23.58,1.92,20.61,930.83,0
COLHEITADEIRA-I,36.39,34.34,7.15,12.86,5.35,0
COLHEITADEIRA-I,12.13,17.85,14.65,15.5,748.24,0
TRATOR-II,83.06,64.81,7.69,11.59,903.05,0
COLHEITADEIRA-II,7.48,41.21,0.01,19.42,139.72,0
TRATOR-I,61.13,53.92,32.03,11.82,96.13,1
TRATOR-II,119.6,92.39,29.54,24.79,424.57,1
TRATOR-II,97.68,71.77,25.98,21.71,933.68,1
COLHEITADEIRA-II,73.83,60.97,5.87,15.85,542.39,0
TRATOR-I,36.75,47.63,4.21,18.68,527.46,0
PULVERIZADOR-I,74.87,73.15,2.37,23.67,141.13,0
PULVERIZADOR-I,63.24,55.31,25.34,18.31,0.79,1
TRATOR-II,51.13,42.41,32.51,12.62,810.14,0
TRATOR-I,15.69,31.14,15.07,15.68,87.57,0
TRATOR-II,106.39,80.86,4.17,22.65,633.85,0
COLHEITADEIRA-I,53.97,48.97,17.93,19.66,914.62,0
TRATOR-II,23.35,52.81,12.21,19.76,208.65,0
TRATOR-II,44.13,54.97,13.12,23.0,665.27,0
PULVERIZADOR-I,49.7,56.52,21.75,23.41,78.7,1
PULVERIZADOR-I,99.3,82.06,25.16,23.8,603.76,0
PULVERIZADOR-I,88.03,75.69,3.87,11.42,163.93,0
COLHEITADEIRA-I,92.32,81.62,1.25,18.16,735.95,0
PULVERIZADOR-I,1.32,31.69,34.8,21.11,301.23,0
TRATOR-I,49.94,61.03,8.15,21.35,463.39,0
COLHEITADEIRA-II,57.76,49.81,1.88,19.1,599.43,0
TRATOR-I,2.3,26.39,6.65,12.5,171.27,0
TRATOR-I,31.18,41.07,1.36,21.96,741.64,0
PULVERIZADOR-I,91.23,90.86,13.71,20.8,302.64,0
COLHEITADEIRA-II,16.45,38.81,28.08,11.29,662.37,0
COLHEITADEIRA-II,64.24,64.52,11.94,16.96,158.28,0
COLHEITADEIRA-II,25.82,28.96,15.55,12.61,688.12,0
COLHEITADEIRA-I,1.45,29.04,23.65,15.06,128.19,0
PULVERIZADOR-I,28.94,30.88,17.81,10.27,425.36,0
COLHEITADEIRA-II,117.1,90.38,30.15,16.0,247.21,1
COLHEITADEIRA-I,96.18,72.0,30.31,18.25,748.38,1
TRATOR-II,115.15,99.85,0.35,19.29,262.04,0
TRATOR-II,58.54,51.31,27.23,19.95,881.72,1
COLHEITADEIRA-I,13.17,29.66,16.13,22.54,891.82,0
COLHEITADEIRA-I,65.76,76.32,34.61,13.23,196.44,1
PULVERIZADOR-I,54.53,48.84,16.91,11.81,613.85,0
PULVERIZADOR-I,101.32,86.03,34.54,22.77,87.72,1
TRATOR-II,11.77,29.64,26.41,12.35,391.54,1
COLHEITADEIRA-II,58.59,45.7,8.7,24.62,713.32,0
TRATOR-II,18.01,44.59,18.84,22.64,659.42,0
COLHEITADEIRA-II,38.96,35.45,34.72,17.51,624.7,0
COLHEITADEIRA-II,88.48,77.32,30.01,24.72,282.54,1
PULVERIZADOR-I,57.12,61.09,3.41,11.46,378.02,0
TRATOR-I,45.11,55.92,24.72,14.55,102.95,1
TRATOR-I,47.34,59.06,12.1,19.57,719.02,0
COLHEITADEIRA-I,55.13,50.68,0.24,15.25,503.89,0
PULVERIZADOR-I,94.2,66.82,14.12,23.93,708.77,0
COLHEITADEIRA-II,107.05,95.93,8.22,10.98,248.94,0
TRATOR-I,114.64,94.85,28.66,18.24,324.44,1
COLHEITADEIRA-II,94.43,91.74,11.81,18.86,334.22,0
TRATOR-I,37.85,57.35,28.96,19.79,25.74,1
TRATOR-I,82.58,84.85,0.02,13.83,341.05,0
TRATOR-I,52.51,56.06,10.77,15.47,803.3,0
PULVERIZADOR-I,30.56,38.35,8.44,22.66,897.3,0
TRATOR-II,100.9,94.29,8.17,12.92,518.22,0
COLHEITADEIRA-II,4.61,26.31,2.39,22.4,455.5,0
PULVERIZADOR-I,108.21,80.43,6.55,18.44,30.82,0
PULVERIZADOR-I,55.38,68.88,19.44,21.43,879.2,0
PULVERIZADOR-I,76.46,82.36,10.2,20.7,13.01,1
PULVERIZADOR-I,79.12,71.46,14.61,13.11,944.75,0
PULVERIZADOR-I,107.41,76.72,13.19,18.53,489.22,0
COLHEITADEIRA-I,76.4,67.47,30.66,23.02,341.93,1
COLHEITADEIRA-II,73.67,78.31,31.69,16.48,924.22,1
PULVERIZADOR-I,8.0,41.85,17.25,24.5,24.39,1
COLHEITADEIRA-II,62.21,53.43,11.56,16.78,581.42,0
COLHEITADEIRA-I,18.02,22.82,3.74,12.14,548.93,0
COLHEITADEIRA-I,88.49,89.42,33.37,15.84,219.32,1
COLHEITADEIRA-II,61.47,58.56,2.11,24.28,428.89,0
TRATOR-I,81.63,75.23,10.42,14.8,652.26,0
TRATOR-II,5.0,42.04,10.43,23.02,727.13,0
TRATOR-I,10.18,18.1,11.21,23.22,0.72,0
TRATOR-I,85.96,81.02,5.75,15.25,936.85,0
TRATOR-I,8.65,17.41,27.41,11.25,164.53,0
PULVERIZADOR-I,8.55,26.39,4.29,20.87,233.58,0
COLHEITADEIRA-I,1.45,34.99,22.22,14.67,263.47,0
TRATOR-I,114.78,91.87,4.33,21.74,37.82,0
COLHEITADEIRA-I,88.5,93.02,2.47,16.64,123.05,0
COLHEITADEIRA-II,42.39,52.21,31.83,17.28,986.35,0
TRATOR-II,35.58,40.99,6.65,21.67,315.22,0
COLHEITADEIRA-II,41.96,41.78,28.74,15.74,115.3,1
COLHEITADEIRA-II,92.96,76.29,19.06,16.65,106.99,1
PULVERIZADOR-I,79.36,68.79,2.72,15.64,719.46,0
TRATOR-II,22.22,25.4,33.44,15.51,854.57,0
COLHEITADEIRA-II,20.89,33.62,8.64,17.89,256.95,0
COLHEITADEIRA-II,11.81,31.01,30.09,22.13,20.91,1
TRATOR-II,79.24,79.22,5.91,15.43,223.09,0
TRATOR-II,91.72,84.74,29.89,17.86,56.52,1
COLHEITADEIRA-II,31.81,50.35,0.46,20.06,103.39,0
TRATOR-II,2.51,11.76,17.91,14.04,431.51,0
COLHEITADEIRA-II,9.86,22.45,26.93,14.16,229.92,0
COLHEITADEIRA-II,116.14,99.54,32.72,24.0,515.95,1
PULVERIZADOR-I,35.45,45.79,31.82,20.85,253.49,1
TRATOR-I,92.31,65.54,28.69,18.66,940.54,1
COLHEITADEIRA-II,74.96,79.11,31.09,19.72,905.94,1
COLHEITADEIRA-I,45.83,60.68,6.97,10.44,566.81,0
TRATOR-I,24.68,41.26,9.95,19.27,354.42,0
TRATOR-I,14.57,20.73,10.11,17.64,381.15,0
TRATOR-I,73.8,77.28,13.2,18.19,411.85,0
PULVERIZADOR-I,92.96,83.29,13.77,15.39,727.58,1
COLHEITADEIRA-II,77.27,79.82,19.06,11.22,451.64,0
PULVERIZADOR-I,63.64,70.73,5.6,12.9,856.73,0
COLHEITADEIRA-II,5.03,37.11,24.19,24.26,944.09,1
PULVERIZADOR-I,116.22,95.27,5.86,16.13,335.95,0
PULVERIZADOR-I,95.85,71.72,10.86,17.0,560.69,0
COLHEITADEIRA-I,35.14,51.22,17.62,10.79,95.06,0
PULVERIZADOR-I,117.6,99.17,27.88,10.56,200.47,1
TRATOR-II,72.23,75.6,25.88,20.76,413.47,1
COLHEITADEIRA-I,69.89,57.03,22.59,18.07,206.2,0
PULVERIZADOR-I,89.77,69.71,5.45,17.63,876.56,0
TRATOR-I,97.41,95.16,19.15,13.65,158.29,1
TRATOR-II,78.78,79.77,3.06,21.17,455.66,0
TRATOR-II,15.37,46.47,13.21,12.52,605.7,0
TRATOR-II,40.59,57.12,14.47,12.85,691.86,0
COLHEITADEIRA-I,111.37,94.74,1.39,16.91,383.07,0
PULVERIZADOR-I,26.95,45.8,9.59,14.29,869.1,0
PULVERIZADOR-I,44.66,63.47,33.45,13.71,568.32,1
TRATOR-I,51.85,58.47,33.38,19.68,439.51,1
TRATOR-I,52.73,60.61,12.33,19.76,67.24,0
TRATOR-II,73.55,58.83,1.51,22.37,464.69,0
TRATOR-I,113.17,92.12,6.27,16.27,820.74,0
COLHEITADEIRA-I,28.88,48.82,13.73,11.1,614.54,0
PULVERIZADOR-I,14.58,26.88,33.17,14.1,832.16,0
TRATOR-II,23.7,30.29,4.94,24.7,494.01,0
TRATOR-I,106.43,83.27,26.72,18.94,118.46,1
COLHEITADEIRA-I,77.5,63.74,3.8,20.65,13.64,0
COLHEITADEIRA-I,34.31,37.03,34.34,10.11,303.22,1
TRATOR-I,97.91,81.49,13.36,17.77,697.99,0
PULVERIZADOR-I,103.36,99.25,27.13,10.56,790.26,1
TRATOR-I,101.58,86.16,11.99,18.54,295.75,0
TRATOR-II,110.27,81.8,21.97,23.81,495.65,1
TRATOR-I,30.27,30.47,6.72,24.53,421.12,0
COLHEITADEIRA-I,90.61,85.25,5.11,18.11,410.52,0
TRATOR-I,55.26,54.64,32.83,16.87,231.35,1
PULVERIZADOR-I,101.04,95.28,32.12,24.18,136.37,1
COLHEITADEIRA-II,87.42,82.24,31.06,20.1,196.69,1
TRATOR-I,93.17,89.79,21.89,10.97,55.33,1
PULVERIZADOR-I,78.74,65.4,28.29,16.99,198.13,1
PULVERIZADOR-I,21.29,43.55,2.42,13.6,9.2,0
COLHEITADEIRA-I,65.4,57.16,11.72,17.05,627.26,0
PULVERIZADOR-I,118.16,100.0,10.98,16.83,316.38,1
PULVERIZADOR-I,112.49,96.58,22.25,18.73,973.14,1
PULVERIZADOR-I,5.18,22.84,12.46,15.35,193.72,0
PULVERIZADOR-I,19.78,29.95,5.2,12.46,345.83,0
TRATOR-II,15.81,25.21,20.88,17.56,357.84,0
TRATOR-II,87.12,83.11,28.5,22.45,8.45,1
COLHEITADEIRA-I,98.13,75.44,13.37,19.96,839.21,0
TRATOR-I,25.62,43.23,4.63,15.08,31.99,0
PULVERIZADOR-I,60.7,54.36,6.88,24.03,940.18,0
TRATOR-I,100.88,90.39,8.31,23.68,892.07,0
TRATOR-I,87.94,87.21,10.5,13.14,535.52,0
COLHEITADEIRA-I,65.07,72.38,22.5,10.59,543.6,0
PULVERIZADOR-I,70.84,75.33,21.03,21.12,653.78,0
PULVERIZADOR-I,61.0,52.23,24.36,22.41,387.05,0
COLHEITADEIRA-II,35.71,34.08,12.69,24.52,647.22,0
TRATOR-I,67.8,71.65,28.84,23.35,44.77,1
TRATOR-I,82.67,70.65,7.14,19.01,54.05,0
TRATOR-II,104.8,85.85,16.42,17.95,457.23,0
COLHEITADEIRA-II,76.35,56.75,28.03,10.42,549.62,0
TRATOR-II,91.33,72.59,6.31,13.7,887.82,0
TRATOR-II,19.21,22.54,3.85,16.89,104.66,0
TRATOR-II,55.39,69.61,30.93,19.43,822.65,0
COLHEITADEIRA-I,1.12,17.97,12.0,18.36,210.05,0
COLHEITADEIRA-I,29.6,44.48,23.94,21.14,394.08,0
TRATOR-II,87.18,63.47,0.89,14.2,316.6,0
COLHEITADEIRA-II,119.02,100.0,24.15,18.47,400.16,1
TRATOR-I,11.9,26.83,11.06,11.32,150.5,0
COLHEITADEIRA-II,48.18,65.85,1.95,16.2,503.57,0
PULVERIZADOR-I,96.01,94.25,21.34,21.25,801.64,1
COLHEITADEIRA-I,24.48,34.45,8.43,20.4,441.53,0
TRATOR-I,66.61,76.99,13.54,24.86,490.61,0
TRATOR-I,87.97,92.67,2.82,14.17,848.77,0
PULVERIZADOR-I,73.92,79.11,5.15,17.47,706.06,0
PULVERIZADOR-I,22.56,48.88,10.43,14.94,490.45,0
TRATOR-II,42.65,43.06,3.14,16.61,257.7,0
COLHEITADEIRA-I,94.06,83.73,31.88,22.85,884.93,1
COLHEITADEIRA-I,66.51,51.92,0.21,20.26,577.02,0
COLHEITADEIRA-II,0.63,13.22,16.94,23.24,221.15,0
TRATOR-II,91.32,94.76,4.31,13.05,269.12,0
TRATOR-II,4.24,22.34,10.77,23.1,803.13,0
TRATOR-II,89.49,86.14,32.41,10.9,44.15,1
TRATOR-II,24.3,48.78,5.66,23.33,992.09,0
COLHEITADEIRA-I,114.97,100.0,33.8,14.94,130.35,1
COLHEITADEIRA-I,44.15,66.42,7.2,14.72,796.07,0
TRATOR-II,39.23,40.78,25.95,17.68,394.78,0
COLHEITADEIRA-II,17.87,21.93,19.13,24.11,492.22,0
TRATOR-I,36.67,44.34,30.96,10.72,880.65,1
TRATOR-I,105.2,77.02,19.39,15.28,412.91,1
COLHEITADEIRA-II,119.56,82.41,18.71,22.85,537.49,1
TRATOR-II,44.2,47.33,6.84,15.94,49.3,0
COLHEITADEIRA-I,53.83,65.81,5.82,12.99,2.35,0
TRATOR-I,86.65,78.97,32.08,16.37,244.8,1
PULVERIZADOR-I,106.34,83.19,11.47,15.78,680.58,0
PULVERIZADOR-I,71.17,72.33,13.02,23.73,121.26,0
COLHEITADEIRA-II,46.98,45.15,26.59,21.43,113.76,0
TRATOR-II,49.51,40.14,11.86,17.58,410.96,0
TRATOR-I,83.47,83.02,33.32,24.83,647.84,1
TRATOR-II,0.39,28.94,25.83,16.98,712.07,0
TRATOR-I,74.35,77.48,20.91,10.87,178.45,1
COLHEITADEIRA-II,42.66,36.76,30.83,13.93,79.59,0
COLHEITADEIRA-II,95.3,92.3,1.74,16.54,940.4,0
PULVERIZADOR-I,11.16,35.28,9.0,12.35,260.67,0
TRATOR-II,70.58,69.25,16.28,24.21,853.35,0
PULVERIZADOR-I,57.72,63.37,7.94,21.5,863.49,0
TRATOR-II,77.08,82.18,26.04,14.02,772.52,1
PULVERIZADOR-I,7.78,32.28,32.17,18.86,168.83,1
COLHEITADEIRA-I,69.6,69.19,14.83,20.82,821.8,0
COLHEITADEIRA-I,67.38,80.15,11.97,24.12,769.25,0
COLHEITADEIRA-I,67.28,73.07,33.65,23.22,596.72,1
COLHEITADEIRA-I,72.42,66.72,15.57,17.73,337.2,0
TRATOR-I,81.18,79.93,17.12,21.62,262.51,0
COLHEITADEIRA-I,96.6,79.64,12.31,18.43,121.89,1
COLHEITADEIRA-II,32.38,36.29,31.83,18.29,509.76,0
COLHEITADEIRA-II,99.01,87.31,19.91,11.72,585.26,0
TRATOR-I,59.79,73.72,26.68,11.89,359.34,0
COLHEITADEIRA-I,9.25,43.42,28.41,17.94,475.36,1
COLHEITADEIRA-I,7.03,24.47,11.96,14.03,363.51,0
COLHEITADEIRA-I,40.11,49.9,15.18,10.32,641.01,0
PULVERIZADOR-I,94.19,72.86,29.7,20.84,901.26,1
TRATOR-II,84.92,90.82,12.71,10.49,163.92,0
PULVERIZADOR-I,94.63,96.21,27.79,18.93,381.41,1
TRATOR-II,62.07,66.73,32.93,18.09,140.87,1
COLHEITADEIRA-I,52.82,65.83,21.81,24.53,624.94,1
COLHEITADEIRA-I,17.69,42.07,25.96,17.26,728.87,0
PULVERIZADOR-I,39.38,51.42,28.18,10.95,931.91,0
PULVERIZADOR-I,52.08,42.85,29.58,18.28,278.87,0
TRATOR-II,10.63,30.02,13.83,22.62,950.21,0
COLHEITADEIRA-II,26.47,46.13,1.79,24.95,63.26,0
TRATOR-II,71.79,73.4,14.07,16.46,603.01,0
PULVERIZADOR-I,88.28,74.16,23.58,14.8,57.13,1
PULVERIZADOR-I,119.8,100.0,15.76,23.6,893.77,0
TRATOR-I,111.97,82.2,26.21,12.87,529.81,0
PULVERIZADOR-I,77.11,71.28,12.49,19.23,669.35,0
TRATOR-I,50.55,61.06,22.22,16.09,831.57,0
COLHEITADEIRA-II,76.34,76.72,6.52,10.62,150.31,0
TRATOR-II,94.28,86.03,26.23,15.21,38.59,1
TRATOR-II,14.2,26.78,19.1,13.98,878.88,0
TRATOR-I,49.19,44.2,7.14,20.29,314.93,0
TRATOR-II,100.78,89.54,10.22,24.23,128.98,1
PULVERIZADOR-I,46.06,55.62,26.2,14.02,468.46,0
COLHEITADEIRA-I,68.62,56.56,16.89,22.17,598.31,0
TRATOR-I,70.53,73.47,7.56,10.83,30.97,1
TRATOR-II,22.14,36.94,33.85,18.07,274.9,0
TRATOR-I,43.47,56.11,25.03,11.06,32.8,1
TRATOR-I,40.14,59.21,33.5,24.01,420.34,1
COLHEITADEIRA-I,3.14,16.98,14.95,21.5,895.1,0
PULVERIZADOR-I,2.9,12.32,16.63,19.87,982.65,0
TRATOR-I,99.8,93.26,31.43,22.36,637.05,1
TRATOR-II,32.77,47.95,18.38,19.71,161.64,1
COLHEITADEIRA-II,62.17,68.29,24.75,24.53,905.85,1
TRATOR-I,35.85,56.65,8.83,20.71,516.25,0
TRATOR-I,112.88,100.0,15.64,23.87,153.75,1
COLHEITADEIRA-I,31.12,57.5,4.32,17.76,921.73,0
PULVERIZADOR-I,51.56,57.01,7.21,11.76,757.47,0
COLHEITADEIRA-II,104.73,87.49,0.03,17.92,731.71,0
TRATOR-II,101.03,82.68,1.37,11.9,709.18,0
COLHEITADEIRA-II,22.33,28.01,34.2,18.89,200.34,1
TRATOR-II,96.32,84.97,8.48,17.24,211.01,0
PULVERIZADOR-I,54.98,51.3,23.22,19.34,688.29,1
TRATOR-II,57.96,72.41,29.37,10.15,219.72,1
COLHEITADEIRA-I,16.02,37.11,19.27,12.92,438.67,0
COLHEITADEIRA-I,9.67,33.59,5.36,17.37,782.0,0
COLHEITADEIRA-I,87.35,73.06,25.48,24.26,783.95,1
COLHEITADEIRA-I,59.58,47.3,21.01,15.75,453.26,0
COLHEITADEIRA-II,52.42,42.41,25.59,16.37,792.19,0
PULVERIZADOR-I,87.54,75.22,26.94,20.72,838.62,1
TRATOR-II,91.86,67.65,34.14,19.06,654.78,1
TRATOR-II,19.07,39.65,20.07,14.48,228.43,0
COLHEITADEIRA-I,73.23,80.37,11.96,16.16,274.01,0
COLHEITADEIRA-I,16.24,46.23,22.7,13.27,314.84,0
TRATOR-I,90.17,83.87,2.4,24.49,116.8,0
PULVERIZADOR-I,78.83,63.64,31.41,11.96,273.16,1
COLHEITADEIRA-II,114.79,100.0,4.18,15.58,209.52,0
TRATOR-II,8.27,41.55,11.47,10.39,455.33,0
TRATOR-I,6.85,20.01,28.55,13.33,908.44,0
TRATOR-I,33.86,52.44,20.91,21.71,104.48,1
TRATOR-II,31.4,37.44,13.78,13.02,720.27,0
COLHEITADEIRA-II,29.64,51.86,16.57,11.2,687.28,0
TRATOR-I,108.75,100.0,29.91,17.12,95.75,1
TRATOR-I,29.95,28.87,11.9,10.15,922.57,0
PULVERIZADOR-I,32.63,56.5,30.44,11.27,568.47,1
COLHEITADEIRA-II,91.13,83.36,3.08,22.11,363.73,0
TRATOR-I,53.97,71.58,27.19,21.57,756.54,1
COLHEITADEIRA-II,93.21,79.87,29.66,23.73,257.37,1
TRATOR-II,7.84,40.13,6.36,22.82,693.51,0
COLHEITADEIRA-I,58.51,46.98,15.06,20.25,39.71,1
TRATOR-I,4.03,22.48,5.79,10.78,839.41,0
PULVERIZADOR-I,7.52,16.52,24.73,21.74,448.17,0
TRATOR-II,108.77,100.0,18.74,22.68,636.69,1
COLHEITADEIRA-II,16.71,44.53,22.24,21.99,221.24,0
TRATOR-II,63.89,73.91,6.88,17.63,677.07,0
TRATOR-I,49.33,67.74,7.41,13.49,772.24,0
COLHEITADEIRA-II,41.68,37.56,1.45,22.68,473.21,0
COLHEITADEIRA-I,107.98,86.36,11.27,20.91,617.73,0
TRATOR-II,2.62,13.7,19.59,24.71,456.33,0
TRATOR-I,79.65,64.12,30.03,12.34,894.09,0
PULVERIZADOR-I,115.61,86.25,23.34,13.38,497.87,1
COLHEITADEIRA-II,67.22,64.41,15.24,13.18,841.81,0
TRATOR-II,112.42,85.51,33.36,21.89,801.35,1
TRATOR-II,6.27,16.79,25.17,12.8,410.5,0
COLHEITADEIRA-I,50.26,45.18,32.56,11.0,230.08,1
COLHEITADEIRA-I,31.22,33.15,18.47,24.98,406.08,0
PULVERIZADOR-I,87.7,91.81,9.06,10.37,826.22,0
PULVERIZADOR-I,117.76,100.0,1.85,22.53,227.63,0
TRATOR-I,30.78,57.5,25.41,15.48,524.44,0
TRATOR-I,78.5,70.29,4.25,22.62,806.1,0
PULVERIZADOR-I,23.77,32.61,10.6,18.32,353.48,0
PULVERIZADOR-I,67.84,74.65,18.64,23.52,642.21,1
COLHEITADEIRA-II,55.67,53.19,19.75,23.89,245.63,1
